id;left;kwic;right
"1";"Ve/v/RV--6---------- své/svůj/P8FS6---------1 tehdejší/tehdejší/AAFS6----1A---- naivitě/naivita/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- představovala/představovat/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- jednou/jednou/Db------------- budu/být/VB-S---1F-AAI-- také/také/Db-------------";"chovat/chovat/Vf--------A-I-- králíky/králík/NNMP4-----A---- a/a/J^------------- slepice/slepice/NNFP4-----A---- ,/,/Z:------------- na/na/RR--6---------- zahradě/zahrada/NNFS6-----A---- vyroste/vyrůst/VB-S---3P-AAP-- meruňka/meruňka/NNFS1-----A---- a/a/J^------------- ve/v/RV--6---------- velkých/velký/AAIP6----1A---- sudech/sud/NNIP6-----A---- bude/být/VB-S---3F-AAI-- zrát/zrát/Vf--------A-I-- víno/víno/NNNS1-----A---- ,/,/Z:------------- které/který/P4NS1---------- tátovi/táta/NNMS3-----A---- moc/moc/Db------------- chutná/chutnat/VB-S---3P-AAI-- ,/,/Z:------------- ""/""/Z:------------- vzpomíná/vzpomínat/VB-S---3P-AAI-- na/na/RR--4---------- své/svůj/P8FP4---------1 dětské/dětský/AAFP4----1A---- představy/představa/NNFP4-----A----";"o/o/RR--6---------- domově/domov/NNIS6-----A---- ././Z:-------------"
"2";"V/v/RR--6---------- hudbě/hudba/NNFS6-----A---- se/se/P7--4---------- vůbec/vůbec/TT------------- nevyznám/vyznat/VB-S---1P-NAP-- ;/;/Z:-------------";"chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- však/však/J^------------- tak/tak/Db------------- silnou/silný/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- přes/přes/RR--4---------- svou/svůj/P8FS4---------1 osobní/osobní/AAFS4----1A---- nezasvěcenost/nezasvěcenost/NNFS4-----A---- často/často/Dg-------1A---- beru/brát/VB-S---1P-AAI-- do/do/RR--2---------- rukou/ruka/NNFP2-----A---- kdejakou/kdejaký/PZFS4---------- operní/operní/AAFS4----1A---- partituru/partitura/NNFS4-----A---- a/a/J^------------- celé/celý/AAFP4----1A---- hodiny/hodina/NNFP4-----A---- marním/marnit/VB-S---1P-AAI-- čas/čas/NNIS4-----A---- bezcílným/bezcílný/AANS7----1A---- listováním/listování/NNNS7-----A---- a/a/J^------------- prohlížením/prohlížení/NNNS7-----A---- tu/tu/Db------------- více/hodně/Dg-------2A---- ,/,/Z:------------- tu/tu/Db------------- méně/málo/Dg-------2A---- nakupených/nakupený/AAIP2----1A---- shluků/shluk/NNIP2-----A---- not/nota/NNFP2-----A---- ,/,/Z:------------- linek/linka/NNFP2-----A---- ,/,/Z:------------- půlkruhů/půlkruh/NNIP2-----A---- ,/,/Z:------------- trojúhelníků/trojúhelník/NNIP2-----A---- a/a/J^------------- dalších/další/AAFP2----1A---- značek/značka/NNFP2-----A---- ,/,/Z:------------- kterým/který/P4FP3---------- se/se/P7--4---------- říká/říkat/VB-S---3P-AAI-- hudební/hudební/AAIP1----1A---- klíče/klíč/NNIP1-----A---- ;/;/Z:------------- a/a/J^------------- tohle/tenhle/PDNS4---------- všechno/všechen/PLNS4---------- podstupuji/podstupovat/VB-S---1P-AAI-1 ,/,/Z:------------- aniž/aniž/J,------------- bych/být/Vc-S---1----I-- měl/mít/VpMS----R-AAI-- o/o/RR--6---------- celé/celý/AAFS6----1A---- věci/věc/NNFS6-----A---- sebemenší/malý/AAFS4----1A---- představu/představa/NNFS4-----A----";"nebo/nebo/J^------------- z/z/RR--2---------- ní/on/P5FS2--3------- měl/mít/VpMS----R-AAI-- alespoň/alespoň/Db------------- krapet/krapet/Db------------- užitku/užitek/NNIS2-----A---- ././Z:-------------"
"3";"Způsob/způsob/NNIS1-----A---- ,/,/Z:------------- jakým/jaký/P4IS7---------- se/se/P7--4---------- Magistrát/magistrát/NNIS1-----A----";"chová/chovat/VB-S---3P-AAI-- ke/k/RV--3---------- svým/svůj/P8NP3---------- divadlům/divadlo/NNNP3-----A---- ,/,/Z:------------- připomíná/připomínat/VB-S---3P-AAI-- handlíře/handlíř/NNMS4-----A---- s/s/RR--7---------- prázdnými/prázdný/AAIP7----1A---- domy/dům/NNIP7-----A---- ,/,/Z:------------- které/který/P4IP4---------- naplní/naplnit/VB-P---3P-AAP-- tím/ten/PDNS7---------- ,/,/Z:------------- čím/co/PQ--7---------- sám/sám/PLMS1---------- bude/být/VB-S---3F-AAI-- chtít/chtít/Vf--------A-I-- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- představy/představa/NNFP4-----A----";"a/a/J^------------- koncepci/koncepce/NNFS4-----A---- těch/ten/PDMP2---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- v/v/RR--6---------- nich/oni/P5MP6--3------- až/až/TT------------- dosud/dosud/Db------------- něco/něco/PZ--4---------- vytvářeli/vytvářet/VpMP----R-AAI-- a/a/J^------------- o/o/RR--4---------- něco/něco/PZ--4---------- usilovali/usilovat/VpMP----R-AAI-- ././Z:-------------"
"4";"O/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI--";"chovat/chovat/Vf--------A-I-- Rom/Rom/NNMS1-----A---- ,/,/Z:------------- má/mít/VB-S---3P-AAI-- každý/každý/PLMS1---------- z/z/RR--2---------- majority/majorita/NNFS2-----A---- nějakou/nějaký/PZFS4---------- představu/představa/NNFS4-----A----";",/,/Z:------------- ať/ať/J^------------- danou/daný/AAFS7----1A---- výchovou/výchova/NNFS7-----A---- ,/,/Z:------------- médii/médium/NNNP7-----A---- nebo/nebo/J^------------- vlastní/vlastní/AAFS7----1A---- zkušeností/zkušenost/NNFS7-----A---- ././Z:-------------"
"5";"Kapr/kapr/NNMS1-----A---- od/od/RR--2---------- samého/samý/PLNS2---------- svého/svůj/P8NS2---------- narození/narození/NNNS2-----A----";"chová/chovat/VB-S---3P-AAI-- utkvělou/utkvělý/AAFS4----1A---- představu/představa/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- není/být/VB-S---3P-NAI-- hezké/hezký/AANS1----1A---- od/od/RR--2---------- kuchařky/kuchařka/NNFS2-----A---- ,/,/Z:------------- když/když/J,------------- mu/on/PHMS3--3------- párá/párat/VB-S---3P-AAI-- břicho/břicho/NNNS4-----A---- zaživa/zaživa/Db------------- ,/,/Z:------------- a/a/J^------------- zvyk/zvyk/NNIS1-----A---- stínání/stínání/NNNS2-----A---- kohouta/kohout/NNMS2-----A---- že/že/J,------------- je/být/VB-S---3P-AAI-- náběhem/náběh/NNIS7-----A---- spolku/spolek/NNIS2-----A---- pro/pro/RR--4---------- ochranu/ochrana/NNFS4-----A---- zvířat/zvíře/NNNP2-----A---- nepodřezávat/podřezávat/Vf--------N-I-- drůbež/drůbež/NNFS4-----A---- rukou/ruka/NNFS7-----A---- neumělou/neumělý/AAFS4----1A---- ././Z:-------------"
"6";"A/a/J^------------- v/v/RR--6---------- tom/ten/PDNS6---------- se/se/P7--4---------- nemýlila/mýlit/VpFS----R-NAI-- ,/,/Z:------------- protože/protože/J,------------- po/po/RR--6---------- jisté/jistý/AAFS6----1A---- době/doba/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- zjistil/zjistit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,-------------";"chovám/chovat/VB-S---1P-AAI-- jisté/jistý/AAFP4----1A---- představy/představa/NNFP4-----A----";"nebo/nebo/J^------------- názory/názor/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP1---------- nemohly/moci/VpIP----R-NAI-- pocházet/pocházet/Vf--------A-I-- než/než/J,------------- od/od/RR--2---------- ní/on/P5FS2--3------- ,/,/Z:------------- že/že/J,------------- totiž/totiž/TT------------- poté/poté/Db------------- ,/,/Z:------------- co/co/Db------------- jsem/být/VB-S---1P-AAI-- zabil/zabít/VpMS----R-AAP-- jejího/její/PSMS4FS3------- psa/pes/NNMS4-----A---- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- byl/být/VpMS----R-AAI-- povinen/povinný/ACMS------A---- jí/on/PPFS3--3------- pomoci/pomoci/Vf--------A-P-- odnést/odnést/Vf--------A-P-- jej/on/PPMS4--3------2 k/k/RR--3---------- ní/on/P5FS3--3------- domů/domů/Db------------- a/a/J^------------- pohřbít/pohřbít/Vf--------A-P-- jej/on/PPMS4--3------2 ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- mne/já/PP-S4--1------- nehodlala/hodlat/VpFS----R-NAI-- podat/podat/Vf--------A-P-- žalobu/žaloba/NNFS4-----A---- za/za/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- učinil/učinit/VpMS----R-AAP-- ,/,/Z:------------- ale/ale/J^------------- že/že/J,------------- člověk/člověk/NNMS1-----A----"
"7";"Nezdařený/zdařený/AAIS1----1N---- útěk/útěk/NNIS1-----A---- spoluvězně/spoluvězeň/NNMS2-----A---- Orsiniho/Orsini/NNMS2-----A---- je/být/VB-S---3P-AAI-- zmařen/zmařit/VsIS------APP-- právě/právě/Db------------- nedostatkem/nedostatek/NNIS7-----A---- rozlišení/rozlišení/NNNS2-----A---- :/:/Z:-------------";"chová/chovat/VB-S---3P-AAI-- představu/představa/NNFS4-----A----";"svobody/svoboda/NNFS2-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- nemůže/moci/VB-S---3P-NAI-- srovnat/srovnat/Vf--------A-P-- s/s/RR--7---------- kamennými/kamenný/AAFP7----1A---- zdmi/zeď/NNFP7-----A---- vězení/vězení/NNNS2-----A---- ;/;/Z:------------- ale/ale/J^------------- nedovede/dovést/VB-S---3P-NAP-- ji/on/PPFS4--3------- vyloučit/vyloučit/Vf--------A-P-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- šel/jít/VpMS----R-AAI-- za/za/RR--7---------- ní/on/P5FS7--3------- ,/,/Z:------------- nedovede/dovést/VB-S---3P-NAP-- na/na/RR--4---------- ni/on/P5FS4--3------- v/v/RR--6---------- žádném/žádný/PWIS6---------- okamžiku/okamžik/NNIS6-----A---- zapomenout/zapomenout/Vf--------A-P-- tolik/tolik/Ca--4---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- uviděl/uvidět/VpMS----R-AAP-- věci/věc/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP1---------- se/se/P7--4---------- nabízejí/nabízet/VB-P---3P-AAI-- jako/jako/J,------------- nástroje/nástroj/NNIP1-----A---- k/k/RR--3---------- obtížné/obtížný/AAFS3----1A---- cestě/cesta/NNFS3-----A---- ././Z:-------------"
"8";"Vlky/vlk/NNMP4-----A----";"chovala/chovat/VpFS----R-AAI-- na/na/RR--6---------- krumlovském/krumlovský/AAIS6----1A---- zámku/zámek/NNIS6-----A---- a/a/J^------------- možná/možná/TT------------- i/i/J^------------- jejich/jejich/PSNS4-P3------- noční/noční/AANS4----1A---- vytí/vytí/NNNS4-----A---- na/na/RR--4---------- měsíc/měsíc/NNIS4-----A---- vzbuzovalo/vzbuzovat/VpNS----R-AAI-- v/v/RR--6---------- poddaných/poddaný/AAFP6----1A---- různé/různý/AAFP4----1A---- hrůzné/hrůzný/AAFP4----1A---- představy/představa/NNFP4-----A----";"././Z:-------------"
"9";"tak/tak/Db------------- posedět/posedět/Vf--------A-P-- -/-/Z:------------- obvykle/obvykle/Dg-------1A---- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- sešli/sejít/VpMP----R-AAP-- u/u/RR--2---------- Moodieho/Moodie/NNMS2-----A---- ,/,/Z:------------- dívali/dívat/VpMP----R-AAI-- se/se/P7--4---------- na/na/RR--4---------- kabelovku/kabelovka/NNFS4-----A---- a/a/J^------------- pomalu/pomalu/Dg-------1A---- se/se/P7--4---------- chystali/chystat/VpMP----R-AAI-- ,/,/Z:------------- a/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- ležel/ležet/VpMS----R-AAI-- na/na/RR--6---------- gauči/gauč/NNIS6-----A---- ,/,/Z:------------- popíjel/popíjet/VpMS----R-AAI-- pivo/pivo/NNNS4-----A---- z/z/RR--2---------- ledničky/lednička/NNFS2-----A---- a/a/J^------------- vychutnával/vychutnávat/VpMS----R-AAI-- si/se/P7--3---------- každou/každý/PLFS4---------- minutu/minuta/NNFS4-----A---- ,/,/Z:------------- protože/protože/J,------------- jsem/být/VB-S---1P-AAI-- nevěděl/vědět/VpMS----R-NAI-- ,/,/Z:------------- kdy/kdy/Db------------- se/se/P7--4---------- mi/já/PH-S3--1------- příště/příště/Db------------- naskytne/naskytnout/VB-S---3P-AAP-- taková/takový/PDFS1---------- příležitost/příležitost/NNFS1-----A---- ;/;/Z:------------- ostatní/ostatní/AAMP1----1A---- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- se/se/P7--4---------- nedělo/dít/VpNS----R-NAI-- nic/nic/PW--1---------- výjimečnýho/výjimečný/AANS2----1A---6 ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- vůbec/vůbec/TT------------- netušili/tušit/VpMP----R-NAI-- ,/,/Z:------------- co/co/PQ--4---------- to/ten/PDNS1---------- pro/pro/RR--4---------- mě/já/PH-S4--1------- znamená/znamenat/VB-S---3P-AAI-- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- to/ten/PDNS4---------- možná/možná/TT------------- někdy/někdy/Db------------- trochu/trochu/Db------------- přeháněl/přehánět/VpMS----R-AAI-- ,/,/Z:------------- smál/smát/VpMS----R-AAI-- se/se/P7--4---------- moc/moc/Db------------- nahlas/nahlas/Db------------- a/a/J^------------- pil/pít/VpMS----R-AAI-- moc/moc/Db------------- rychle/rychle/Dg-------1A---- ,/,/Z:------------- celej/celý/AAMS1----1A---6 nedočkavej/nedočkavý/AAMS1----1A---6 ,/,/Z:------------- kdy/kdy/Db------------- se/se/P7--4---------- konečně/konečně/Dg-------1A---- začne/začít/VB-S---3P-AAP-- něco/něco/PZ--1---------- dít/dít/Vf--------A-I-- ,/,/Z:------------- kdy/kdy/Db------------- půjdeme/jít/VB-P---1F-AAI-- do/do/RR--2---------- nějakýho/nějaký/PZIS2---------6 super/super/AAIS2----1A---- podniku/podnik/NNIS2-----A---- ,/,/Z:------------- kdy/kdy/Db------------- podnikneme/podniknout/VB-P---1P-AAP-- něco/něco/PZ--4---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- ten/ten/PDIS1---------- večer/večer/NNIS4-----A---- získal/získat/VpMS----R-AAP-- grády/grády/NNIP4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- to/ten/PDNS1---------- stálo/stát/VpNS----R-AAI-- za/za/RR--4---------- ten/ten/PDIS4---------- stres/stres/NNIS4-----A---- ,/,/Z:------------- za/za/RR--4---------- ten/ten/PDIS4---------- neustálej/neustálý/AAIS4----1A---6 strach/strach/NNIS4-----A---- ,/,/Z:------------- za/za/RR--4---------- ty/ten/PDFP4---------- představy/představa/NNFP4-----A----";"-/-/Z:------------- občas/občas/Db------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- připadal/připadat/VpMS----R-AAI-- tak/tak/Db------------- strašně/strašně/Dg-------1A---- odtrženej/odtržený/AAMS1----1A---6 ,/,/Z:------------- jak/jak/Db------------- jsem/být/VB-S---1P-AAI-- trávil/trávit/VpMS----R-AAI-- celý/celý/AAIP4----1A---6 týdny/týden/NNIP4-----A---- mimo/mimo/RR--4---------- společnost/společnost/NNFS4-----A---- svých/svůj/P8MP2---------- vrstevníků/vrstevník/NNMP2-----A---- -/-/Z:-------------"
"10";"Zároveň/zároveň/Db------------- se/se/P7--4---------- konstatuje/konstatovat/VB-S---3P-AAB-- ,/,/Z:------------- že/že/J,------------- ""/""/Z:------------- město/město/NNNS1-----A---- se/se/P7--4---------- musí/muset/VB-S---3P-AAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- dobrý/dobrý/AAMS1----1A---- hospodář/hospodář/NNMS1-----A---- :/:/Z:------------- v/v/RR--6---------- případě/případ/NNIS6-----A---- ukončení/ukončení/NNNS2-----A---- výuky/výuka/NNFS2-----A---- v/v/RR--6---------- budovách/budova/NNFP6-----A---- ,/,/Z:------------- které/který/P4FP1---------- nyní/nyní/Db------------- slouží/sloužit/VB-S---3P-AAI-- školství/školství/NNNS3-----A---- ,/,/Z:------------- mít/mít/Vf--------A-I-- jasnou/jasný/AAFS4----1A---- představu/představa/NNFS4-----A----";"o/o/RR--6---------- dalším/další/AANS6----1A---- využití/využití/NNNS6-----A---- svého/svůj/P8IS2---------- majetku/majetek/NNIS2-----A---- ././Z:------------- ""/""/Z:-------------"
"11";"";"Nechovali/chovat/VpMP----R-NAI-- a/a/J^------------- nechovají/chovat/VB-P---3P-NAI-- totiž/totiž/TT------------- velkou/velký/AAFS4----1A---- důvěru/důvěra/NNFS4-----A---- ve/v/RV--4---------- své/svůj/P8MP4---------1 politiky/politik/NNMP4-----A---- :/:/Z:------------- ostatně/ostatně/TT------------- mezi/mezi/RR--7---------- politiky/politik/NNMP7-----A---- a/a/J^------------- obyčejnými/obyčejný/AAMP7----1A---- lidmi/člověk/NNMP7-----A---- zeje/zet/VB-S---3P-AAI-- hluboká/hluboký/AAFS1----1A---- propast/propast/NNFS1-----A---- a/a/J^------------- sami/sám/PLMP1---------- italští/italský/AAMP1----1A---- politici/politik/NNMP1-----A---- někdy/někdy/Db------------- budí/budit/VB-P---3P-AAI-- dojem/dojem/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- nemají/mít/VB-P---3P-NAI-- představu/představa/NNFS4-----A----";"o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- a/a/J^------------- z/z/RR--2---------- čeho/co/PQ--2---------- musí/muset/VB-S---3P-AAI-- žít/žít/Vf--------A-I-- obyčejný/obyčejný/AAMS1----1A---- člověk/člověk/NNMS1-----A---- ././Z:-------------"
"12";"Ví/vědět/VB-S---3P-AAI-- nejlépe/dobře/Dg-------3A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- vaše/váš/PSNS1-P2------- dítě/dítě/NNNS1-----A----";"chová/chovat/VB-S---3P-AAI-- v/v/RR--6---------- dětském/dětský/AAIS6----1A---- kolektivu/kolektiv/NNIS6-----A---- ././Z0------------- -/-/Z:------------- Pokud/pokud/J,------------- dítě/dítě/NNNS1-----A---- ještě/ještě/Db------------- nikdy/nikdy/Db------------- nespalo/spát/VpNS----R-NAI-- mimo/mimo/RR--4---------- domov/domov/NNIS4-----A---- ,/,/Z:------------- vyšlete/vyslat/VB-P---2P-AAP-- ho/on/PHNS4--3------- ještě/ještě/Db------------- před/před/RR--7---------- odjezdem/odjezd/NNIS7-----A---- k/k/RR--3---------- babičce/babička/NNFS3-----A---- nebo/nebo/J^------------- kamarádce/kamarádka/NNFS3-----A---- na/na/RR--4---------- zkušenou/zkušená/NNFS4-----A---- ././Z0------------- -/-/Z:------------- Nemá/mít/VB-S---3P-NAI-- cenu/cena/NNFS4-----A---- dítěti/dítě/NNNS3-----A---- vysvětlovat/vysvětlovat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- bude/být/VB-S---3F-AAI-- pryč/pryč/Db------------- sedm/sedm/Cn-S4---------- dní/den/NNIP2-----A---1 ,/,/Z:------------- nemá/mít/VB-S---3P-NAI-- představu/představa/NNFS4-----A----";"o/o/RR--6---------- čase/čas/NNIS6-----A---- ././Z:-------------"
"13";"Spojené/spojený/AAIP1----1A---- státy/stát/NNIP1-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- konfrontačně/konfrontačně/Dg-------1A---- ,/,/Z:------------- snaží/snažit/VB-P---3P-AAI-- se/se/P7--4---------- o/o/RR--4---------- nové/nový/AAIP4----1A---- závody/závod/NNIP4-----A---- ve/v/RV--6---------- zbrojení/zbrojení/NNNS6-----A---- ,/,/Z:------------- a/a/J^------------- okolnímu/okolní/AAIS3----1A---- světu/svět/NNIS3-----A---- tak/tak/Db------------- násilně/násilně/Dg-------1A---- nutí/nutit/VB-P---3P-AAI-- své/svůj/P8FP4---------1 představy/představa/NNFP4-----A----";"././Z:-------------"
"14";"Průzkum/průzkum/NNIS1-----A---- také/také/Db------------- ukázal/ukázat/VpIS----R-AAP-- ,/,/Z:------------- že/že/J,------------- české/český/AAFP1----1A---- domácnosti/domácnost/NNFP1-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- poměrně/poměrně/Dg-------1A---- zodpovědně/zodpovědně/Dg-------1A---- z/z/RR--2---------- hlediska/hledisko/NNNS2-----A---- plánování/plánování/NNNS2-----A---- a/a/J^------------- sledování/sledování/NNNS2-----A---- příjmů/příjem/NNIP2-----A---- a/a/J^------------- mají/mít/VB-P---3P-AAI-- také/také/Db------------- představu/představa/NNFS4-----A----";"o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- co/co/PQ--4---------- si/se/P7--3---------- mohou/moci/VB-P---3P-AAI-1 a/a/J^------------- nemohou/moci/VB-P---3P-NAI-1 dovolit/dovolit/Vf--------A-P-- ././Z:-------------"
"15";"";"Choval/chovat/VpMS----R-AAI-- představu/představa/NNFS4-----A----";"dvacetiletého/dvacetiletý/AAMS2----1A---- chlapa/chlap/NNMS2-----A---- v/v/RR--6---------- džínsách/džínsy/NNFP6-----A---- příliš/příliš/Db------------- malých/malý/AAFP6----1A---- pro/pro/RR--4---------- tento/tento/PDIS4---------- dům/dům/NNIS4-----A---- a/a/J^------------- teď/teď/Db------------- čelil/čelit/VpMS----R-AAI-- změně/změna/NNFS3-----A---- po/po/RR--6---------- šedesáti/šedesát/Cn-P6---------- letech/rok/NNNP6-----A---- ././Z:-------------"
"16";"Jako/jako/J,------------- dítě/dítě/NNNS1-----A---- rozvedených/rozvedený/AAMP2----1A---- rodičů/rodič/NNMP2-----A---- a/a/J^------------- sám/sám/PLMS1---------- už/už/Db------------- rozvedený/rozvedený/AAMS1----1A---- nejspíš/nejspíš/TT------------- neměl/mít/VpMS----R-NAI--";"chovat/chovat/Vf--------A-I-- naivní/naivní/AAFP4----1A---- představy/představa/NNFP4-----A----";"o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- spolu/spolu/Db------------- budou/být/VB-P---3F-AAI-- s/s/RR--7---------- Doreen/Doreen/NNFS7-----A---- věčně/věčně/Dg-------1A---- ,/,/Z:------------- nicméně/nicméně/J^------------- si/se/P7--3---------- tak/tak/Db------------- ustavičně/ustavičně/Dg-------1A---- připadal/připadat/VpMS----R-AAI-- ././Z:-------------"
"17";"Bez/bez/RR--2---------- valného/valný/AANS2----1A---- nadšení/nadšení/NNNS2-----A---- jsem/být/VB-S---1P-AAI-- v/v/RR--6---------- něm/on/P5MS6--3------- od/od/RR--2---------- té/ten/PDFS2---------- doby/doba/NNFS2-----A---- rozkrýval/rozkrývat/VpMS----R-AAI-- dvojlomné/dvojlomný/AAIP4----1A---- pocity/pocit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4----------";"choval/chovat/VpMS----R-AAI-- ke/k/RV--3---------- svému/svůj/P8MS3---------- otci/otec/NNMS3-----A---- ,/,/Z:------------- jeho/jeho/PSFS4-S3------- latentní/latentní/AAFS4----1A---- homosexualitu/homosexualita/NNFS4-----A---- a/a/J^------------- falešné/falešný/AAFP4----1A---- představy/představa/NNFP4-----A----";",/,/Z:------------- které/který/P4FP4---------- o/o/RR--6---------- sobě/se/P6--6---------- měl/mít/VpMS----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- teď/teď/Db------------- to/ten/PDNS1---------- ve/v/RV--6---------- mně/já/PP-S6--1------- z/z/RR--2---------- příkazu/příkaz/NNIS2-----A---- kostky/kostka/NNFS2-----A---- najednou/najednou/Db------------- přímo/přímo/Dg-------1A---- explodovalo/explodovat/VpNS----R-AAB-- ././Z:-------------"
"18";"Získala/získat/VpFS----R-AAP-- titul/titul/NNIS4-----A---- magistr/magistr/NNMS1-----A---- v/v/RR--6---------- angličtině/angličtina/NNFS6-----A---- -/-/Z:------------- poté/poté/Db------------- ,/,/Z:------------- co/co/Db------------- zuby/zub/NNIP7-----A---- nehty/nehet/NNIP7-----A---- vybojovala/vybojovat/VpFS----R-AAP-- na/na/RR--6---------- babičce/babička/NNFS6-----A---- Lynn/Lynn/NNFS1-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mohla/moci/VpFS----R-AAI-- tak/tak/Db------------- dlouho/dlouho/Dg-------1A---- studovat/studovat/Vf--------A-I-- -/-/Z:------------- a/a/J^------------- dosud/dosud/Db-------------";"chovala/chovat/VpFS----R-AAI-- neurčité/určitý/AAFP4----1N---- představy/představa/NNFP4-----A----";"o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- až/až/J,------------- my/my/PP-P1--1------- dvě/dva/ClFP1---------- budeme/být/VB-P---1F-AAI-- dost/dost/Dg-------1A---- staré/starý/AAFP1----1A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- o/o/RR--4---------- sebe/se/P6--4---------- dokázaly/dokázat/VpFP----R-AAP-- postarat/postarat/Vf--------A-P-- ,/,/Z:------------- půjde/jít/VB-S---3F-AAI-- učit/učit/Vf--------A-I-- ././Z:-------------"
"19";"Naštěstí/naštěstí/Db------------- ,/,/Z:------------- protože/protože/J,------------- rodiče/rodič/NNMP1-----A----";"chovali/chovat/VpMP----R-AAI-- scestnou/scestný/AAFS4----1A---- představu/představa/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- přesně/přesně/Dg-------1A---- to/ten/PDNS1---------- je/být/VB-S---3P-AAI-- ta/ten/PDFS1---------- pravá/pravý/AAFS1----1A---- zábava/zábava/NNFS1-----A---- pro/pro/RR--4---------- dítě/dítě/NNNS4-----A---- –/-/Z:------------- a/a/J^------------- nejen/nejen/Db------------- její/její/PSMP1FS3------- rodiče/rodič/NNMP1-----A---- ,/,/Z:------------- jak/jak/Db------------- věděla/vědět/VpFS----R-AAI-- od/od/RR--2---------- spolužaček/spolužačka/NNFP2-----A---- ././Z:-------------"
"20";"Šikovného/šikovný/AAMS4----1A---- a/a/J^------------- odolného/odolný/AAMS4----1A---- psa/pes/NNMS4-----A---- začali/začít/VpMP----R-AAP--";"chovat/chovat/Vf--------A-I-- vévodové/vévoda/NNMP1-----A---- ve/v/RV--6---------- dvou/dva/ClNP6---------- vzdálených/vzdálený/AANP6----1A---- hrabstvích/hrabství/NNNP6-----A---- ,/,/Z:------------- Cardiganu/Cardiganu/X@------------- a/a/J^------------- Pembroke/Pembroke/NNNS6-----A---- ,/,/Z:------------- ale/ale/J^------------- každý/každý/PLMS1---------- měl/mít/VpMS----R-AAI-- jiné/jiný/AAFP4----1A---- představy/představa/NNFP4-----A----";"o/o/RR--6---------- kráse/krása/NNFS6-----A---- ././Z:-------------"
